Degree,Lambda,CV Train RMSE,CV Test RMSE
0,0,389040.7363655514,381162.5902368477
1,0,364924.4792676729,350504.95605410595
2,0,356963.01796638855,359466.06539132725
3,0,338223.1263611968,338859.73377318576
4,0,327717.28136194544,341999.42077580484
5,0,294480.71069967246,314360.8390778423
6,0,272913.69834443025,312646.4629063196
7,0,232933.91151235462,260071.73101265906
8,0,180024.01958942367,220742.68279575207
9,0,173911.62770889796,221099.35172429497
10,0,166043.09942221284,189867.38711982267
11,0,159307.80153380564,232601.51024092353
12,0,138544.37844862448,180599.45263376736
13,0,115468.90569183741,298346.0066642518
14,0,94599.703336714,276625.6052367065
15,0,64429.45150304556,154611.90033112268
16,0,63041.80087651688,216752.18403563873
17,0,55039.16894067917,145268.97513077414
18,0,54845.1268264412,248417.8749236369
19,0,51285.3316809425,284818.88270047127
20,0,48744.27112171409,164786.33699412315
21,0,45405.857582965225,1235582.214588872
22,0,47264.35262842759,1017108.5580084742
23,0,43131.591779676346,1168992.8621410436
24,0,41214.50672073841,263872.6375104711
25,0,40054.60857811741,2438403.824717459
26,0,40137.876681264046,3827602.8039123486
27,0,39434.91570417582,3359760.1550922836
28,0,37369.84591542131,2400432.0133164315
28,0.0,37369.84591542131,2400432.0133164315
28,9.357622968840175e-14,88885.91493602553,2316574.3634330756
28,6.914400106940203e-13,82606.40453555527,349034.2592471608
28,5.109089028063325e-12,99887.5565943152,577589.473528726
28,3.775134544279098e-11,117810.26266037248,486544.6655338705
28,2.7894680928689246e-10,137584.12003614442,172052.0071408731
28,2.061153622438558e-09,153662.53036808374,406916.96392478346
28,1.522997974471263e-08,167676.59236971664,445081.3364856513
28,1.1253517471925912e-07,175434.28085151454,321560.6192312877
28,8.315287191035679e-07,178777.4353578592,249744.36944357073
28,6.14421235332821e-06,181566.3032448376,236766.40841633256
28,4.5399929762484854e-05,191077.80871468806,246285.44210493527
28,0.00033546262790251185,207370.4038343949,213905.80707810083
28,0.0024787521766663585,238077.93063574366,290639.94812602724
28,0.01831563888873418,275046.45199128584,344971.2429903162
28,0.1353352832366127,301861.9188299083,315625.0698978924
28,1.0,333495.43787348206,351618.761276667
28,7.38905609893065,357620.97845497984,362789.8106031478
28,54.598150033144236,369010.3958024944,359909.3980033227
28,403.4287934927351,375032.44701508153,361525.3860496239
28,2980.9579870417283,381962.44481252227,370800.98754765716
28,22026.465794806718,387474.8998072317,378923.9197255484
